student_id,display_name,major_code,class_year,gpa_band,target_path_id,is_pivoting,created_at,is_synthetic
ST0001,Ethan Chen,ISE,Sophomore,<3.0,CP13,false,2026-09-03,true
ST0002,Luke Martinez,BIT,Junior,3.0-3.4,CP07,false,2026-09-02,true
ST0003,Jordan Johnson,CPE,Freshman,3.5-3.7,CP03,false,2026-08-31,true
ST0004,Grace Smith,CS,Junior,3.5-3.7,CP08,false,2026-08-28,true
ST0005,Jordan Garcia,ACIS,Sophomore,3.0-3.4,CP09,false,2026-09-09,true
ST0006,Fatima Singh,ISE,Freshman,3.8+,CP15,false,2026-09-14,true
ST0007,Leah Thomas,FIN,Senior,3.0-3.4,CP09,false,2026-08-28,true
ST0008,Mei Lee,FIN,Junior,3.8+,CP05,false,2026-08-28,true
ST0009,Emily Martinez,STAT,Senior,3.0-3.4,CP06,false,2026-08-20,true
ST0010,Maya Davis,FIN,Junior,3.0-3.4,CP07,false,2026-09-12,true
ST0011,Leah Young,COMM,Junior,3.8+,CP12,false,2026-09-14,true
ST0012,Yara Williams,CS,Sophomore,3.5-3.7,CP03,false,2026-09-14,true
ST0013,Sara Williams,CPE,Freshman,3.5-3.7,CP03,false,2026-09-13,true
ST0014,Nina Williams,ACIS,Senior,3.8+,CP04,false,2026-08-23,true
ST0015,Jason Martinez,EE,Senior,3.0-3.4,CP16,false,2026-08-20,true
ST0016,Ben Hall,BIO,Sophomore,3.8+,CP18,false,2026-08-28,true
ST0017,Marcus Young,CS,Sophomore,3.8+,CP11,false,2026-09-06,true
ST0018,Mei Lopez,MATH,Senior,3.0-3.4,CP06,false,2026-09-07,true
ST0019,Marcus Lee,FIN,Freshman,3.8+,CP04,false,2026-08-22,true
ST0020,Cole Johnson,EE,Sophomore,3.5-3.7,CP04,true,2026-08-22,true
ST0021,Andre Wilson,ACIS,Sophomore,3.0-3.4,CP09,false,2026-09-17,true
ST0022,Cole Chen,CS,Junior,<3.0,CP16,true,2026-09-09,true
ST0023,Marcus Martinez,FIN,Sophomore,3.8+,CP04,false,2026-08-26,true
ST0024,Ethan Davis,CS,Freshman,3.5-3.7,CP08,false,2026-09-17,true
ST0025,Maya Brown,FIN,Junior,3.5-3.7,CP04,false,2026-08-25,true
ST0026,Fatima Singh,FIN,Sophomore,3.5-3.7,CP09,false,2026-09-17,true
ST0027,Mei Martinez,CS,Senior,3.8+,CP02,false,2026-08-21,true
ST0028,Zoe Moore,CEE,Sophomore,3.8+,CP17,false,2026-09-03,true
ST0029,Cole Thomas,FIN,Sophomore,3.0-3.4,CP05,false,2026-09-15,true
ST0030,Leah Young,ECON,Senior,3.8+,CP19,false,2026-09-01,true
ST0031,Priya Johnson,CS,Sophomore,3.5-3.7,CP12,false,2026-09-14,true
ST0032,Caleb Davis,BME,Freshman,<3.0,CP18,false,2026-08-22,true
ST0033,Emily Kim,ACIS,Freshman,3.0-3.4,CP08,true,2026-08-21,true
ST0034,Diego Williams,COMM,Junior,3.5-3.7,CP19,false,2026-08-30,true
ST0035,Ines Thomas,CS,Junior,<3.0,CP01,false,2026-09-04,true
ST0036,Ethan Clark,ACIS,Senior,<3.0,CP02,true,2026-08-22,true
ST0037,Raj Thomas,ME,Freshman,3.5-3.7,CP15,false,2026-09-03,true
ST0038,Jordan Moore,BIT,Junior,<3.0,CP10,false,2026-09-11,true
ST0039,Yara Anderson,ME,Senior,3.0-3.4,CP02,true,2026-09-06,true
ST0040,Chloe Brown,BIO,Senior,3.0-3.4,CP18,false,2026-09-03,true
ST0041,Liam Anderson,ACIS,Junior,<3.0,CP04,false,2026-09-16,true
ST0042,Cole Williams,ME,Sophomore,<3.0,CP15,false,2026-09-06,true
ST0043,Yara Garcia,ECON,Freshman,3.8+,CP02,false,2026-08-29,true
ST0044,Sofia Wilson,ECON,Junior,<3.0,CP11,true,2026-09-04,true
ST0045,Marcus Anderson,BME,Freshman,3.8+,CP18,false,2026-09-10,true
ST0046,Kevin Anderson,CS,Junior,3.0-3.4,CP03,false,2026-08-27,true
ST0047,Marcus Davis,FIN,Sophomore,3.5-3.7,CP05,false,2026-08-30,true
ST0048,Jason Lee,MATH,Sophomore,<3.0,CP11,true,2026-08-24,true
ST0049,Raj Patel,EE,Senior,3.5-3.7,CP16,false,2026-09-16,true
ST0050,Omar Singh,MKTG,Senior,3.8+,CP14,false,2026-09-03,true
ST0051,Tyler Anderson,CS,Junior,3.8+,CP03,false,2026-08-20,true
ST0052,Priya Moore,EE,Freshman,<3.0,CP16,false,2026-09-02,true
ST0053,Omar Garcia,BIT,Junior,3.0-3.4,CP08,false,2026-09-04,true
ST0054,Ava Patel,BME,Sophomore,3.5-3.7,CP18,false,2026-09-11,true
ST0055,Tyler Young,COMM,Senior,<3.0,CP19,false,2026-08-23,true
ST0056,Chloe Anderson,ME,Junior,3.5-3.7,CP15,false,2026-09-08,true
ST0057,Diego Young,ME,Sophomore,3.0-3.4,CP11,true,2026-08-25,true
ST0058,Sara Martinez,CEE,Senior,3.5-3.7,CP02,true,2026-08-29,true
ST0059,Raj Brown,MGT,Freshman,3.8+,CP03,true,2026-08-23,true
ST0060,Sara Kim,MKTG,Senior,3.5-3.7,CP10,true,2026-08-29,true
ST0061,Nina Smith,BIO,Senior,3.0-3.4,CP18,false,2026-08-23,true
ST0062,Ryan Patel,MKTG,Senior,3.0-3.4,CP14,false,2026-08-23,true
ST0063,Fatima Singh,COMM,Junior,<3.0,CP12,false,2026-09-10,true
ST0064,Hannah Kim,MGT,Freshman,3.8+,CP07,false,2026-09-09,true
ST0065,Tyler Brown,CS,Senior,3.0-3.4,CP12,false,2026-09-11,true
ST0066,Ben Lopez,COMM,Senior,<3.0,CP03,true,2026-08-24,true
ST0067,Diego Singh,ACIS,Senior,3.5-3.7,CP04,false,2026-09-13,true
ST0068,Ethan Anderson,CS,Junior,3.0-3.4,CP16,true,2026-08-30,true
ST0069,Zoe Patel,ME,Junior,3.5-3.7,CP15,false,2026-08-28,true
ST0070,Grace Garcia,FIN,Junior,3.8+,CP11,true,2026-09-04,true
ST0071,Kevin Chen,MATH,Junior,3.8+,CP06,false,2026-08-23,true
